Plan_ID,Gender,Age_Group,BMI_Category,Fitness_Goal,Activity_Level,Dietary_Preference,Medical_Conditions,Allergies_Intolerances,Exercise_Schedule,Meal_Plan,Nutritional_Facts,Est_Calories_Burned,Semantic_Description
PLAN_044,Any,36-50,Normal,Maintenance,Intermediate,Any,,,Monday: Swimming 40 mins. Tuesday: Strength training 35 mins. Wednesday: Rest. Thursday: Jogging 30 mins. Friday: Pilates 30 mins. Saturday: Hiking 70 mins. Sunday: Stretching.,Breakfast: Oats with berries. Lunch: Chicken wrap with salad. Dinner: Grilled fish with quinoa. Snacks: Yogurt and fruit.,"{Calories: 2200 kcal, Protein: 110g, Carbs: 240g, Fats: 65g}",2800,PLAN_044: A balanced maintenance plan for a normal BMI adult aged 36-50. Mixed training and nutrient-dense meals support long-term wellness and fitness.
PLAN_045,Male,50+,Overweight,Weight Loss,Beginner,Vegan,Hypertension,Gluten Intolerance,Monday: Walking 25 mins. Tuesday: Tai chi 20 mins. Wednesday: Rest. Thursday: Water aerobics 25 mins. Friday: Walking 30 mins. Saturday: Stretching 15 mins. Sunday: Rest.,Breakfast: Gluten-free porridge. Lunch: Quinoa lentil salad. Dinner: Vegetable stew. Snacks: Fresh fruit.,"{Calories: 1500 kcal, Protein: 70g, Carbs: 170g, Fats: 38g}",1400,PLAN_045: A vegan weight loss plan for an overweight male over 50 with hypertension and gluten intolerance. Low-impact exercise and reduced-calorie meals support healthy aging and fat loss.
PLAN_046,Female,26-35,Underweight,Muscle Gain,Intermediate,Keto,,Lactose Intolerance,Monday: Strength training 50 mins. Tuesday: Cycling 25 mins. Wednesday: Lower body workout 45 mins. Thursday: Rest. Friday: Upper body workout 45 mins. Saturday: Jogging 20 mins. Sunday: Stretching.,Breakfast: Eggs with avocado. Lunch: Chicken salad with olive oil. Dinner: Beef with vegetables. Snacks: Dairy-free protein shake.,"{Calories: 2750 kcal, Protein: 150g, Carbs: 55g, Fats: 185g}",3000,PLAN_046: A keto muscle gain program for an underweight female with lactose intolerance. High-fat nutrient-dense meals and structured strength training support lean mass development.
PLAN_047,Male,18-25,Normal,Endurance/Stamina,Advanced,Any,,,Monday: Long-distance run 75 mins. Tuesday: HIIT circuits 35 mins. Wednesday: Cycling 60 mins. Thursday: Swimming 45 mins. Friday: Tempo run 50 mins. Saturday: Basketball 90 mins. Sunday: Recovery yoga.,Breakfast: Pancakes with fruit. Lunch: Chicken pasta. Dinner: Steak with potatoes. Snacks: Protein shake.,"{Calories: 3000 kcal, Protein: 155g, Carbs: 380g, Fats: 80g}",5400,PLAN_047: An advanced endurance and stamina plan for a young male with normal BMI. High-energy meals and demanding cardio sessions optimize athletic conditioning.
PLAN_048,Female,36-50,Obese,Weight Loss,Intermediate,Halal,Heart Disease,,Monday: Walking 35 mins. Tuesday: Yoga 25 mins. Wednesday: Rest. Thursday: Water aerobics 30 mins. Friday: Cycling 25 mins. Saturday: Stretching 20 mins. Sunday: Rest.,Breakfast: Oatmeal with berries. Lunch: Grilled chicken salad. Dinner: Fish curry with vegetables. Snacks: Pear slices.,"{Calories: 1550 kcal, Protein: 88g, Carbs: 150g, Fats: 45g}",2100,PLAN_048: A halal low-impact weight loss plan for an obese female with heart disease. Safe cardiovascular exercise and balanced meals support gradual fat reduction.
PLAN_049,Any,26-35,Normal,Maintenance,Intermediate,Vegan,,Nut Allergy,Monday: Yoga 35 mins. Tuesday: Cycling 40 mins. Wednesday: Rest. Thursday: Bodyweight exercises 35 mins. Friday: Walking 45 mins. Saturday: Hiking 60 mins. Sunday: Stretching.,Breakfast: Soy yogurt with fruit. Lunch: Chickpea rice bowl. Dinner: Tofu stir fry with quinoa. Snacks: Pumpkin seeds.,"{Calories: 2100 kcal, Protein: 90g, Carbs: 245g, Fats: 55g}",2500,PLAN_049: A vegan maintenance plan for a normal BMI adult with nut allergy considerations. Balanced plant meals and moderate activity help sustain overall health and fitness.
PLAN_050,Male,50+,Obese,Weight Loss,Beginner,Any,Heart Disease,Lactose Intolerance,Monday: Slow walking 20 mins. Tuesday: Chair exercises 15 mins. Wednesday: Rest. Thursday: Water aerobics 20 mins. Friday: Walking 25 mins. Saturday: Gentle stretching 15 mins. Sunday: Rest.,Breakfast: Dairy-free oatmeal with fruit. Lunch: Grilled turkey with vegetables. Dinner: Vegetable soup with quinoa. Snacks: Apple slices.,"{Calories: 1450 kcal, Protein: 80g, Carbs: 145g, Fats: 42g}",1200,PLAN_050: A heart-conscious beginner weight loss plan for an obese male over 50 with lactose intolerance. Gentle low-impact exercise and controlled-calorie meals promote safe long-term health improvements.
PLAN_051,Female,26-35,Obese,Weight Loss,Intermediate,Vegan,Diabetes,Gluten Intolerance,Monday: Jogging 35 mins. Tuesday: Resistance training 30 mins. Wednesday: Rest. Thursday: Cycling 40 mins. Friday: HIIT 20 mins. Saturday: Swimming 40 mins. Sunday: Stretching.,Breakfast: Chia seed pudding with coconut milk. Lunch: Quinoa chickpea salad. Dinner: Vegetable curry with brown rice. Snacks: Mixed nuts and fruit.,"{Calories: 1300 kcal, Protein: 97g, Carbs: 146g, Fats: 36g}",2614,"PLAN_051: A vegan weight loss plan for a 26-35 year old female with obese BMI and diabetes, managing gluten intolerance. Intermediate level exercise with 1300 kcal daily target."
PLAN_052,Male,50+,Obese,Maintenance,Beginner,Any,Heart Disease,Shellfish Allergy,Monday: Slow treadmill walk 20 mins. Tuesday: Gentle yoga 25 mins. Wednesday: Rest. Thursday: Water walking 25 mins. Friday: Stretching 20 mins. Saturday: Balance exercises 15 mins. Sunday: Rest.,Breakfast: Eggs and toast with fruit. Lunch: Turkey sandwich with salad. Dinner: Beef stir fry with rice. Snacks: Protein bar and banana.,"{Calories: 1300 kcal, Protein: 97g, Carbs: 146g, Fats: 36g}",1879,"PLAN_052: A any maintenance plan for a 50+ year old male with obese BMI and heart disease, managing shellfish allergy. Beginner level exercise with 1300 kcal daily target."
PLAN_053,Female,36-50,Normal,Endurance/Stamina,Advanced,Keto,Asthma,,Monday: Marathon pace run 80 mins. Tuesday: Circuit training 40 mins. Wednesday: Cycling 60 mins. Thursday: Swimming 45 mins. Friday: Sprint drills 30 mins. Saturday: Long-distance cycling 90 mins. Sunday: Mobility work.,Breakfast: Smoked salmon with cream cheese. Lunch: Tuna salad with mayo. Dinner: Lamb chops with roasted vegetables. Snacks: Macadamia nuts.,"{Calories: 2700 kcal, Protein: 202g, Carbs: 101g, Fats: 165g}",4184,PLAN_053: A keto endurance/stamina plan for a 36-50 year old female with normal BMI and asthma. Advanced level exercise with 2700 kcal daily target.
PLAN_054,Any,18-25,Underweight,Muscle Gain,Beginner,Vegan,,Soy Allergy,Monday: Light walking 20 mins. Tuesday: Gentle yoga 20 mins. Wednesday: Rest. Thursday: Resistance bands 20 mins. Friday: Walking 25 mins. Saturday: Stretching 20 mins. Sunday: Rest.,Breakfast: Smoothie with oats and banana. Lunch: Black bean and rice bowl. Dinner: Roasted vegetable lentil stew. Snacks: Fruit salad.,"{Calories: 2900 kcal, Protein: 217g, Carbs: 326g, Fats: 80g}",1963,"PLAN_054: A vegan muscle gain plan for a 18-25 year old any with underweight BMI, managing soy allergy. Beginner level exercise with 2900 kcal daily target."
PLAN_055,Male,50+,Underweight,Muscle Gain,Beginner,Halal,Heart Disease,,Monday: Walking 25 mins. Tuesday: Seated stretching 20 mins. Wednesday: Rest. Thursday: Light water exercises 20 mins. Friday: Walking 30 mins. Saturday: Tai chi 20 mins. Sunday: Rest.,Breakfast: Eggs with cucumber and tomatoes. Lunch: Poached chicken salad. Dinner: Grilled lamb with zucchini. Snacks: Pear and herbal tea.,"{Calories: 2600 kcal, Protein: 195g, Carbs: 292g, Fats: 72g}",1919,PLAN_055: A halal muscle gain plan for a 50+ year old male with underweight BMI and heart disease. Beginner level exercise with 2600 kcal daily target.
PLAN_056,Female,18-25,Obese,Weight Loss,Beginner,Any,Thyroid Disorder,Nut Allergy,Monday: Walking 30 mins. Tuesday: Chair yoga 20 mins. Wednesday: Rest. Thursday: Water aerobics 30 mins. Friday: Walking 35 mins. Saturday: Light resistance bands 20 mins. Sunday: Rest.,Breakfast: Oats with berries and yogurt. Lunch: Chicken wrap with salad. Dinner: Grilled fish with quinoa. Snacks: Yogurt and fruit.,"{Calories: 1300 kcal, Protein: 97g, Carbs: 146g, Fats: 36g}",1513,"PLAN_056: A any weight loss plan for a 18-25 year old female with obese BMI and thyroid disorder, managing nut allergy. Beginner level exercise with 1300 kcal daily target."
PLAN_057,Any,50+,Normal,Endurance/Stamina,Intermediate,Vegan,Arthritis,,Monday: Strength training 45 mins. Tuesday: Cardio 35 mins. Wednesday: Rest. Thursday: Resistance training 40 mins. Friday: Yoga 30 mins. Saturday: Outdoor activity 50 mins. Sunday: Stretching.,Breakfast: Tofu scramble with oats and fruit. Lunch: Chickpea and rice bowl with tahini. Dinner: Tempeh stir fry with quinoa. Snacks: Protein smoothie and dates.,"{Calories: 2300 kcal, Protein: 172g, Carbs: 258g, Fats: 64g}",2200,PLAN_057: A vegan endurance/stamina plan for a 50+ year old any with normal BMI and arthritis. Intermediate level exercise with 2300 kcal daily target.
PLAN_058,Male,36-50,Underweight,Muscle Gain,Intermediate,Keto,,Shellfish Allergy,Monday: Strength training 45 mins. Tuesday: Cardio 35 mins. Wednesday: Rest. Thursday: Resistance training 40 mins. Friday: Yoga 30 mins. Saturday: Outdoor activity 50 mins. Sunday: Stretching.,Breakfast: Eggs with bacon and avocado. Lunch: Grilled chicken thighs with salad. Dinner: Beef stir fry with vegetables. Snacks: Cheese and olives.,"{Calories: 2900 kcal, Protein: 217g, Carbs: 108g, Fats: 177g}",2322,"PLAN_058: A keto muscle gain plan for a 36-50 year old male with underweight BMI, managing shellfish allergy. Intermediate level exercise with 2900 kcal daily target."
PLAN_059,Female,50+,Obese,Weight Loss,Beginner,Halal,Hypertension,Lactose Intolerance,Monday: Walking 30 mins. Tuesday: Chair yoga 20 mins. Wednesday: Rest. Thursday: Water aerobics 30 mins. Friday: Walking 35 mins. Saturday: Light resistance bands 20 mins. Sunday: Rest.,Breakfast: Eggs with cucumber and tomatoes. Lunch: Poached chicken salad. Dinner: Grilled lamb with zucchini. Snacks: Pear and herbal tea.,"{Calories: 1300 kcal, Protein: 97g, Carbs: 146g, Fats: 36g}",1421,"PLAN_059: A halal weight loss plan for a 50+ year old female with obese BMI and hypertension, managing lactose intolerance. Beginner level exercise with 1300 kcal daily target."
PLAN_060,Any,26-35,Overweight,Endurance/Stamina,Intermediate,Any,Asthma,Gluten Intolerance,Monday: Strength training 45 mins. Tuesday: Cardio 35 mins. Wednesday: Rest. Thursday: Resistance training 40 mins. Friday: Yoga 30 mins. Saturday: Outdoor activity 50 mins. Sunday: Stretching.,Breakfast: Gluten-free oats with banana. Lunch: Chicken and rice bowl. Dinner: Grilled fish with quinoa. Snacks: Almonds and berries.,"{Calories: 2100 kcal, Protein: 157g, Carbs: 236g, Fats: 58g}",2941,"PLAN_060: A any endurance/stamina plan for a 26-35 year old any with overweight BMI and asthma, managing gluten intolerance. Intermediate level exercise with 2100 kcal daily target."
PLAN_061,Male,18-25,Obese,Weight Loss,Beginner,Vegan,,,Monday: Walking 30 mins. Tuesday: Chair yoga 20 mins. Wednesday: Rest. Thursday: Water aerobics 30 mins. Friday: Walking 35 mins. Saturday: Light resistance bands 20 mins. Sunday: Rest.,Breakfast: Soy yogurt with granola and berries. Lunch: Tofu and vegetable stir fry with brown rice. Dinner: Lentil soup with crusty bread. Snacks: Hummus with carrot sticks.,"{Calories: 1300 kcal, Protein: 97g, Carbs: 146g, Fats: 36g}",1398,PLAN_061: A vegan weight loss plan for a 18-25 year old male with obese BMI. Beginner level exercise with 1300 kcal daily target.
PLAN_062,Female,26-35,Underweight,Muscle Gain,Advanced,Halal,,Shellfish Allergy,Monday: Heavy compound lifts 65 mins. Tuesday: Sprint intervals 25 mins. Wednesday: Upper body hypertrophy 60 mins. Thursday: Rest. Friday: Lower body power 65 mins. Saturday: Athletic drills 45 mins. Sunday: Recovery yoga.,Breakfast: Oats with dates and milk. Lunch: Grilled lamb with rice and salad. Dinner: Chicken curry with naan. Snacks: Banana smoothie and nuts.,"{Calories: 3300 kcal, Protein: 247g, Carbs: 371g, Fats: 92g}",4069,"PLAN_062: A halal muscle gain plan for a 26-35 year old female with underweight BMI, managing shellfish allergy. Advanced level exercise with 3300 kcal daily target."
PLAN_063,Any,36-50,Obese,Weight Loss,Intermediate,Any,Diabetes,Nut Allergy,Monday: Jogging 35 mins. Tuesday: Resistance training 30 mins. Wednesday: Rest. Thursday: Cycling 40 mins. Friday: HIIT 20 mins. Saturday: Swimming 40 mins. Sunday: Stretching.,Breakfast: Eggs and toast with fruit. Lunch: Turkey sandwich with salad. Dinner: Beef stir fry with rice. Snacks: Protein bar and banana.,"{Calories: 1300 kcal, Protein: 97g, Carbs: 146g, Fats: 36g}",2214,"PLAN_063: A any weight loss plan for a 36-50 year old any with obese BMI and diabetes, managing nut allergy. Intermediate level exercise with 1300 kcal daily target."
PLAN_064,Male,50+,Normal,Maintenance,Advanced,Keto,Arthritis,,Monday: Strength training 45 mins. Tuesday: Cardio 35 mins. Wednesday: Rest. Thursday: Resistance training 40 mins. Friday: Yoga 30 mins. Saturday: Outdoor activity 50 mins. Sunday: Stretching.,Breakfast: Smoked salmon with cream cheese. Lunch: Tuna salad with mayo. Dinner: Lamb chops with roasted vegetables. Snacks: Macadamia nuts.,"{Calories: 2300 kcal, Protein: 172g, Carbs: 86g, Fats: 140g}",2200,PLAN_064: A keto maintenance plan for a 50+ year old male with normal BMI and arthritis. Advanced level exercise with 2300 kcal daily target.
PLAN_065,Female,18-25,Normal,Endurance/Stamina,Intermediate,Halal,,Soy Allergy,Monday: Strength training 45 mins. Tuesday: Cardio 35 mins. Wednesday: Rest. Thursday: Resistance training 40 mins. Friday: Yoga 30 mins. Saturday: Outdoor activity 50 mins. Sunday: Stretching.,Breakfast: Oats with dates and milk. Lunch: Grilled lamb with rice and salad. Dinner: Chicken curry with naan. Snacks: Banana smoothie and nuts.,"{Calories: 2600 kcal, Protein: 195g, Carbs: 292g, Fats: 72g}",2914,"PLAN_065: A halal endurance/stamina plan for a 18-25 year old female with normal BMI, managing soy allergy. Intermediate level exercise with 2600 kcal daily target."
PLAN_066,Any,26-35,Obese,Weight Loss,Beginner,Vegan,Heart Disease,Nut Allergy,Monday: Slow walking 20 mins. Tuesday: Chair yoga 20 mins. Wednesday: Rest. Thursday: Water aerobics 25 mins. Friday: Walking 25 mins. Saturday: Gentle stretching 15 mins. Sunday: Rest.,Breakfast: Avocado toast with tomatoes. Lunch: Chickpea salad wrap. Dinner: Tempeh and roasted vegetable bowl. Snacks: Edamame and fruit.,"{Calories: 1300 kcal, Protein: 97g, Carbs: 146g, Fats: 36g}",1305,"PLAN_066: A vegan weight loss plan for a 26-35 year old any with obese BMI and heart disease, managing nut allergy. Beginner level exercise with 1300 kcal daily target."
PLAN_067,Male,36-50,Normal,Muscle Gain,Advanced,Any,,Gluten Intolerance,Monday: Deadlifts and rows 60 mins. Tuesday: Plyometrics 30 mins. Wednesday: Bench and shoulder press 60 mins. Thursday: Rest. Friday: Squat variations 65 mins. Saturday: Functional fitness 45 mins. Sunday: Mobility work.,Breakfast: Eggs with rice cakes. Lunch: Turkey and vegetable stir fry with rice. Dinner: Baked salmon with vegetables. Snacks: Fruit and nut mix.,"{Calories: 2800 kcal, Protein: 210g, Carbs: 315g, Fats: 77g}",4180,"PLAN_067: A any muscle gain plan for a 36-50 year old male with normal BMI, managing gluten intolerance. Advanced level exercise with 2800 kcal daily target."
PLAN_068,Female,50+,Underweight,Muscle Gain,Beginner,Vegan,Thyroid Disorder,,Monday: Walking 25 mins. Tuesday: Light stretching 20 mins. Wednesday: Rest. Thursday: Beginner bodyweight 25 mins. Friday: Walking 30 mins. Saturday: Yoga 20 mins. Sunday: Rest.,Breakfast: Peanut butter oat smoothie with banana. Lunch: Tempeh rice bowl with avocado. Dinner: Lentil pasta with tomato sauce. Snacks: Trail mix and soy yogurt.,"{Calories: 2600 kcal, Protein: 195g, Carbs: 292g, Fats: 72g}",1548,PLAN_068: A vegan muscle gain plan for a 50+ year old female with underweight BMI and thyroid disorder. Beginner level exercise with 2600 kcal daily target.
PLAN_069,Any,18-25,Overweight,Weight Loss,Intermediate,Keto,,Shellfish Allergy,Monday: Brisk walk 40 mins. Tuesday: Resistance bands 30 mins. Wednesday: Yoga 25 mins. Thursday: Cycling 35 mins. Friday: Jogging 30 mins. Saturday: Swimming 35 mins. Sunday: Rest.,Breakfast: Eggs with bacon and avocado. Lunch: Grilled chicken thighs with salad. Dinner: Beef stir fry with vegetables. Snacks: Cheese and olives.,"{Calories: 1600 kcal, Protein: 120g, Carbs: 60g, Fats: 97g}",2458,"PLAN_069: A keto weight loss plan for a 18-25 year old any with overweight BMI, managing shellfish allergy. Intermediate level exercise with 1600 kcal daily target."
PLAN_070,Male,26-35,Obese,Weight Loss,Intermediate,Halal,Hypertension,,Monday: Brisk walk 40 mins. Tuesday: Resistance bands 30 mins. Wednesday: Yoga 25 mins. Thursday: Cycling 35 mins. Friday: Jogging 30 mins. Saturday: Swimming 35 mins. Sunday: Rest.,Breakfast: Eggs with cucumber and tomatoes. Lunch: Poached chicken salad. Dinner: Grilled lamb with zucchini. Snacks: Pear and herbal tea.,"{Calories: 1300 kcal, Protein: 97g, Carbs: 146g, Fats: 36g}",2266,PLAN_070: A halal weight loss plan for a 26-35 year old male with obese BMI and hypertension. Intermediate level exercise with 1300 kcal daily target.
PLAN_071,Any,36-50,Underweight,Endurance/Stamina,Beginner,Any,Thyroid Disorder,,Monday: Walking 25 mins. Tuesday: Light stretching 20 mins. Wednesday: Rest. Thursday: Beginner bodyweight 25 mins. Friday: Walking 30 mins. Saturday: Yoga 20 mins. Sunday: Rest.,Breakfast: Protein oats with eggs and fruit. Lunch: Chicken pasta with vegetables. Dinner: Steak with sweet potatoes and salad. Snacks: Protein shake and banana.,"{Calories: 2600 kcal, Protein: 195g, Carbs: 292g, Fats: 72g}",1275,PLAN_071: A any endurance/stamina plan for a 36-50 year old any with underweight BMI and thyroid disorder. Beginner level exercise with 2600 kcal daily target.
PLAN_072,Male,26-35,Obese,Muscle Gain,Intermediate,Any,Hypertension,Gluten Intolerance,Monday: Strength training 45 mins. Tuesday: Cardio 35 mins. Wednesday: Rest. Thursday: Resistance training 40 mins. Friday: Yoga 30 mins. Saturday: Outdoor activity 50 mins. Sunday: Stretching.,Breakfast: Gluten-free oats with banana. Lunch: Chicken and rice bowl. Dinner: Grilled fish with quinoa. Snacks: Almonds and berries.,"{Calories: 1900 kcal, Protein: 142g, Carbs: 213g, Fats: 53g}",2352,"PLAN_072: A any muscle gain plan for a 26-35 year old male with obese BMI and hypertension, managing gluten intolerance. Intermediate level exercise with 1900 kcal daily target."
PLAN_073,Male,18-25,Normal,Maintenance,Advanced,Keto,Diabetes,Lactose Intolerance,Monday: Strength training 45 mins. Tuesday: Cardio 35 mins. Wednesday: Rest. Thursday: Resistance training 40 mins. Friday: Yoga 30 mins. Saturday: Outdoor activity 50 mins. Sunday: Stretching.,Breakfast: Egg scramble with mushrooms. Lunch: Salmon with arugula and lemon. Dinner: Chicken thighs with roasted broccoli. Snacks: Pork rinds and celery.,"{Calories: 2600 kcal, Protein: 195g, Carbs: 97g, Fats: 159g}",3954,"PLAN_073: A keto maintenance plan for a 18-25 year old male with normal BMI and diabetes, managing lactose intolerance. Advanced level exercise with 2600 kcal daily target."
PLAN_074,Female,18-25,Normal,Maintenance,Intermediate,Any,,Gluten Intolerance,Monday: Swimming 40 mins. Tuesday: Strength training 35 mins. Wednesday: Rest. Thursday: Jogging 30 mins. Friday: Pilates 30 mins. Saturday: Hiking 60 mins. Sunday: Stretching.,Breakfast: Eggs with rice cakes. Lunch: Turkey and vegetable stir fry with rice. Dinner: Baked salmon with vegetables. Snacks: Fruit and nut mix.,"{Calories: 2300 kcal, Protein: 172g, Carbs: 258g, Fats: 64g}",2820,"PLAN_074: A any maintenance plan for a 18-25 year old female with normal BMI, managing gluten intolerance. Intermediate level exercise with 2300 kcal daily target."
PLAN_075,Male,50+,Obese,Maintenance,Beginner,Halal,Asthma,,Monday: Light walking 20 mins. Tuesday: Gentle yoga 20 mins. Wednesday: Rest. Thursday: Resistance bands 20 mins. Friday: Walking 25 mins. Saturday: Stretching 20 mins. Sunday: Rest.,Breakfast: Oatmeal with fruit. Lunch: Lamb and vegetable soup with bread. Dinner: Grilled fish with couscous. Snacks: Orange slices.,"{Calories: 1300 kcal, Protein: 97g, Carbs: 146g, Fats: 36g}",1661,PLAN_075: A halal maintenance plan for a 50+ year old male with obese BMI and asthma. Beginner level exercise with 1300 kcal daily target.
PLAN_076,Male,50+,Overweight,Weight Loss,Advanced,Vegan,Hypertension,,Monday: Brisk walk 40 mins. Tuesday: Resistance bands 30 mins. Wednesday: Yoga 25 mins. Thursday: Cycling 35 mins. Friday: Jogging 30 mins. Saturday: Swimming 35 mins. Sunday: Rest.,Breakfast: Avocado toast with tomatoes. Lunch: Chickpea salad wrap. Dinner: Tempeh and roasted vegetable bowl. Snacks: Edamame and fruit.,"{Calories: 1600 kcal, Protein: 120g, Carbs: 180g, Fats: 44g}",4302,PLAN_076: A vegan weight loss plan for a 50+ year old male with overweight BMI and hypertension. Advanced level exercise with 1600 kcal daily target.
PLAN_077,Male,36-50,Underweight,Endurance/Stamina,Beginner,Halal,Hypertension,,Monday: Walking 25 mins. Tuesday: Light stretching 20 mins. Wednesday: Rest. Thursday: Beginner bodyweight 25 mins. Friday: Walking 30 mins. Saturday: Yoga 20 mins. Sunday: Rest.,Breakfast: Oatmeal with banana (no salt). Lunch: Grilled chicken with steamed vegetables. Dinner: Fish soup with brown rice (reduced sodium). Snacks: Fresh fruit.,"{Calories: 2600 kcal, Protein: 195g, Carbs: 292g, Fats: 72g}",1782,PLAN_077: A halal endurance/stamina plan for a 36-50 year old male with underweight BMI and hypertension. Beginner level exercise with 2600 kcal daily target.
PLAN_078,Male,26-35,Overweight,Maintenance,Beginner,Keto,,Gluten Intolerance,Monday: Walking 25 mins. Tuesday: Light stretching 20 mins. Wednesday: Rest. Thursday: Beginner bodyweight 25 mins. Friday: Walking 30 mins. Saturday: Yoga 20 mins. Sunday: Rest.,Breakfast: Omelet with cheese and spinach. Lunch: Steak salad with feta. Dinner: Grilled salmon with asparagus. Snacks: Cheese cubes and cucumber.,"{Calories: 1600 kcal, Protein: 120g, Carbs: 60g, Fats: 97g}",1981,"PLAN_078: A keto maintenance plan for a 26-35 year old male with overweight BMI, managing gluten intolerance. Beginner level exercise with 1600 kcal daily target."
PLAN_079,Any,36-50,Obese,Weight Loss,Intermediate,Any,Hypertension,,Monday: Jogging 35 mins. Tuesday: Resistance training 30 mins. Wednesday: Rest. Thursday: Cycling 40 mins. Friday: HIIT 20 mins. Saturday: Swimming 40 mins. Sunday: Stretching.,Breakfast: Oatmeal with berries (no salt). Lunch: Grilled chicken salad. Dinner: Steamed fish with quinoa. Snacks: Fresh fruit.,"{Calories: 1300 kcal, Protein: 97g, Carbs: 146g, Fats: 36g}",2470,PLAN_079: A any weight loss plan for a 36-50 year old any with obese BMI and hypertension. Intermediate level exercise with 1300 kcal daily target.
PLAN_080,Any,18-25,Overweight,Endurance/Stamina,Advanced,Any,Hypertension,Soy Allergy,Monday: Long run 75 mins. Tuesday: HIIT cycling 35 mins. Wednesday: Swim intervals 55 mins. Thursday: Yoga 30 mins. Friday: Tempo run 50 mins. Saturday: Trail run 100 mins. Sunday: Rest.,Breakfast: Oats with berries and yogurt. Lunch: Chicken wrap with salad. Dinner: Grilled fish with quinoa. Snacks: Yogurt and fruit.,"{Calories: 2500 kcal, Protein: 187g, Carbs: 281g, Fats: 69g}",3945,"PLAN_080: A any endurance/stamina plan for a 18-25 year old any with overweight BMI and hypertension, managing soy allergy. Advanced level exercise with 2500 kcal daily target."
PLAN_081,Male,26-35,Normal,Maintenance,Intermediate,Vegan,,,Monday: Swimming 40 mins. Tuesday: Strength training 35 mins. Wednesday: Rest. Thursday: Jogging 30 mins. Friday: Pilates 30 mins. Saturday: Hiking 60 mins. Sunday: Stretching.,Breakfast: Avocado toast with tomatoes. Lunch: Chickpea salad wrap. Dinner: Tempeh and roasted vegetable bowl. Snacks: Edamame and fruit.,"{Calories: 2200 kcal, Protein: 165g, Carbs: 247g, Fats: 61g}",2360,PLAN_081: A vegan maintenance plan for a 26-35 year old male with normal BMI. Intermediate level exercise with 2200 kcal daily target.
PLAN_082,Any,26-35,Normal,Endurance/Stamina,Advanced,Any,Asthma,Shellfish Allergy,Monday: Marathon pace run 80 mins. Tuesday: Circuit training 40 mins. Wednesday: Cycling 60 mins. Thursday: Swimming 45 mins. Friday: Sprint drills 30 mins. Saturday: Long-distance cycling 90 mins. Sunday: Mobility work.,Breakfast: Pancakes with eggs and fruit. Lunch: Turkey wrap with avocado. Dinner: Beef stir fry with rice. Snacks: Greek yogurt and nuts.,"{Calories: 2800 kcal, Protein: 210g, Carbs: 315g, Fats: 77g}",4161,"PLAN_082: A any endurance/stamina plan for a 26-35 year old any with normal BMI and asthma, managing shellfish allergy. Advanced level exercise with 2800 kcal daily target."
PLAN_083,Female,36-50,Obese,Muscle Gain,Intermediate,Any,,,Monday: Strength training 45 mins. Tuesday: Cardio 35 mins. Wednesday: Rest. Thursday: Resistance training 40 mins. Friday: Yoga 30 mins. Saturday: Outdoor activity 50 mins. Sunday: Stretching.,Breakfast: Pancakes with eggs and fruit. Lunch: Turkey wrap with avocado. Dinner: Beef stir fry with rice. Snacks: Greek yogurt and nuts.,"{Calories: 1800 kcal, Protein: 135g, Carbs: 202g, Fats: 50g}",2233,PLAN_083: A any muscle gain plan for a 36-50 year old female with obese BMI. Intermediate level exercise with 1800 kcal daily target.
PLAN_084,Male,18-25,Overweight,Muscle Gain,Beginner,Any,Asthma,,Monday: Light walking 20 mins. Tuesday: Gentle yoga 20 mins. Wednesday: Rest. Thursday: Resistance bands 20 mins. Friday: Walking 25 mins. Saturday: Stretching 20 mins. Sunday: Rest.,Breakfast: Pancakes with eggs and fruit. Lunch: Turkey wrap with avocado. Dinner: Beef stir fry with rice. Snacks: Greek yogurt and nuts.,"{Calories: 2100 kcal, Protein: 157g, Carbs: 236g, Fats: 58g}",1923,PLAN_084: A any muscle gain plan for a 18-25 year old male with overweight BMI and asthma. Beginner level exercise with 2100 kcal daily target.
PLAN_085,Male,18-25,Normal,Endurance/Stamina,Beginner,Vegan,Hypertension,Soy Allergy,Monday: Walking 25 mins. Tuesday: Light stretching 20 mins. Wednesday: Rest. Thursday: Beginner bodyweight 25 mins. Friday: Walking 30 mins. Saturday: Yoga 20 mins. Sunday: Rest.,Breakfast: Smoothie with oats and banana. Lunch: Black bean and rice bowl. Dinner: Roasted vegetable lentil stew. Snacks: Fruit salad.,"{Calories: 2400 kcal, Protein: 180g, Carbs: 270g, Fats: 66g}",1272,"PLAN_085: A vegan endurance/stamina plan for a 18-25 year old male with normal BMI and hypertension, managing soy allergy. Beginner level exercise with 2400 kcal daily target."
PLAN_086,Male,26-35,Normal,Endurance/Stamina,Beginner,Any,,Nut Allergy,Monday: Walking 25 mins. Tuesday: Light stretching 20 mins. Wednesday: Rest. Thursday: Beginner bodyweight 25 mins. Friday: Walking 30 mins. Saturday: Yoga 20 mins. Sunday: Rest.,Breakfast: Pancakes with eggs and fruit. Lunch: Turkey wrap with avocado. Dinner: Beef stir fry with rice. Snacks: Greek yogurt and nuts.,"{Calories: 2300 kcal, Protein: 172g, Carbs: 258g, Fats: 64g}",1840,"PLAN_086: A any endurance/stamina plan for a 26-35 year old male with normal BMI, managing nut allergy. Beginner level exercise with 2300 kcal daily target."
